05/14/2021, 13:36:56, 10, 900.0
05/15/2021, 09:42:20, 12, 1080.0
05/17/2021, 19:10:34, 10, 900.0
05/18/2021, 20:30:34, 10, 900.0
05/19/2021, 23:15:34, 10, 900.0
05/20/2021, 15:49:34, 10, 900.0
05/23/2021, 17:07:15, 12, 972.0
05/23/2021, 17:09:18, 13, 910.0
05/23/2021, 17:32:28, 10, 810.0
05/26/2021, 17:52:18, 5, 450.0
06/01/2021, 11:37:55, 16, 1440.0
06/01/2021, 12:13:45, 14, 1260.0
06/01/2021, 12:43:28, 6, 420.0
06/01/2021, 12:44:30, 10, 700.0
06/01/2021, 12:47:58, 12, 840.0
06/02/2021, 17:37:59, 13, 1170.0
06/02/2021, 18:10:40, 13, 910.0
